subsite_store,shipment_state,total,currency,bill_city,bill_zipcode,bill_country_iso_name,quantity,completed_year,completed_month,completed_day
Klippkungen,shipped,580.7,SEK,Loftahammar,59095,SE,1,2018,9,17
Klippkungen,shipped,953.0,SEK,Uppsala,75653,SE,2,2019,2,14
Klippkungen,shipped,297.0,SEK,Anderstorp,33433,SE,1,2018,9,24
Klippkungen,shipped,426.0,SEK,MALMÖ,21455,SE,1,2018,10,6
Klippkungen,shipped,847.0,SEK,SORUNDA,14897,SE,1,2018,5,23
Klippkungen,ready,1632.0,SEK,TIMMELE,52392,SE,1,2018,6,17
Klippkungen,shipped,1459.0,SEK,NYNÄSHAMN,14931,SE,1,2018,11,15
Klippkungen,shipped,237.0,SEK,Moheda,34262,SE,1,2018,12,5
Klippkungen,shipped,910.0,SEK,VÄSTERÅS,72591,SE,1,2018,12,17
Klippkungen,shipped,603.91,SEK,DEJE,66930,SE,1,2018,8,17
Klippkungen,shipped,327.0,SEK,Åstorp,26533,SE,1,2018,11,9
Klippkungen,shipped,1652.0,SEK,Boxholm,59011,SE,1,2018,5,11
Klippkungen,shipped,982.4,SEK,Västerljung,61075,SE,1,2018,7,3
Klippkungen,shipped,357.0,SEK,Uddevalla,45161,SE,1,2018,12,9
Klippkungen,shipped,829.0,SEK,Vänersborg,46250,SE,1,2018,10,3
Klippkungen,shipped,1667.0,SEK,Djurhamn,13902,SE,1,2018,5,14
Klippkungen,shipped,774.0,SEK,Lund,22456,SE,1,2018,7,4
Klippkungen,ready,2457.0,SEK,Uppsala,75244,SE,1,2019,5,10
Klippkungen,shipped,623.0,SEK,Vattholma,74350,SE,1,2018,5,22
Klippkungen,shipped,626.44,DKK,Ålsgårde,3140,DK,1,2018,6,4
Klippkungen,shipped,571.0,SEK,Robertsfors,91592,SE,1,2018,5,27
Klippkungen,shipped,978.0,SEK,RONNEBY,37230,SE,1,2018,11,10
Klippkungen,shipped,1083.0,SEK,Stockholm,11359,SE,1,2018,6,25
Klippkungen,shipped,581.0,SEK,Brandbergen,13661,SE,1,2018,5,11
Klippkungen,shipped,475.0,SEK,Mariestad,54293,SE,1,2018,5,26
Klippkungen,shipped,148.0,SEK,Blentarp,27562,SE,1,2018,9,17
Klippkungen,shipped,629.0,SEK,Umeå,90642,SE,1,2018,6,1
Klippkungen,shipped,459.0,SEK,Karlskoga,69135,SE,1,2018,12,4
Klippkungen,shipped,575.0,SEK,Hägersten,12678,SE,1,2018,6,13
Klippkungen,shipped,567.0,SEK,MOTALA,59138,SE,1,2018,11,24
Klippkungen,shipped,739.91,SEK,Granö,92295,SE,1,2018,9,23
Klippkungen,shipped,655.41,SEK,Tyringe,28231,SE,1,2018,9,29
Klippkungen,ready,1239.28,DKK,Køge,4600,DK,1,2018,9,29
Klippkungen,shipped,337.91,SEK,Umeå,90751,SE,1,2018,5,10
Klippkungen,shipped,821.0,SEK,Hälleforsnäs,64831,SE,1,2018,6,7
Klippkungen,shipped,758.8,SEK,Göteborg,41680,SE,1,2018,9,24
Klippkungen,shipped,466.0,SEK,Reftele,33375,SE,1,2018,9,17
Klippkungen,shipped,643.9,SEK,Falkenberg,31135,SE,1,2018,5,20
Klippkungen,shipped,1176.45,DKK,København S,2300,DK,1,2018,5,18
Klippkungen,shipped,267.0,SEK,MARIESTAD,54240,SE,1,2018,5,18
Klippkungen,shipped,3890.0,SEK,STOCKHOLM,11451,SE,1,2018,5,17
Klippkungen,shipped,349.0,SEK,vara,53432,SE,1,2018,5,17
Klippkungen,shipped,566.0,SEK,Löberöd,24162,SE,1,2018,5,17
Klippkungen,shipped,585.0,SEK,SANDVIKEN,81140,SE,1,2018,5,19
Klippkungen,shipped,525.0,SEK,Tyringe,28234,SE,1,2018,9,12
Klippkungen,shipped,357.0,SEK,STOCKHOLM,11756,SE,1,2018,5,23
Klippkungen,shipped,529.0,SEK,Laholm,31236,SE,1,2018,6,5
Klippkungen,shipped,641.0,SEK,Svärdsjö,79023,SE,1,2018,7,10
Klippkungen,shipped,327.0,SEK,Karlstad,65467,SE,1,2018,11,29
Klippkungen,ready,316.0,SEK,Vikbolandet,61030,SE,1,2019,10,10
Klippkungen,shipped,750.0,SEK,Linköping,58951,SE,1,2018,5,27
Klippkungen,shipped,604.0,SEK,NÄSÅKER,88030,SE,1,2018,5,27
Klippkungen,shipped,368.0,SEK,Holsbybrunn,57015,SE,1,2018,10,23
Klippkungen,shipped,536.0,SEK,TIERP,81544,SE,1,2018,5,29
Klippkungen,shipped,267.0,SEK,Katrineholm,64131,SE,1,2018,6,12
Klippkungen,shipped,814.84,DKK,København Ø,2100,DK,4,2018,6,8
Klippkungen,shipped,371.0,NOK,Kvaløya,9104,NO,1,2018,10,21
Klippkungen,shipped,337.22,NOK,Jakobsli,7058,NO,1,2018,6,3
Klippkungen,shipped,902.0,SEK,Uppsala,75597,SE,1,2018,6,5
Klippkungen,shipped,331.05,NOK,OSLO,0575,NO,1,2018,6,6
Klippkungen,shipped,1290.9,SEK,Lycksele,92132,SE,1,2018,11,9
Klippkungen,shipped,318.0,NOK,FOGN,4164,NO,1,2018,8,21
Klippkungen,shipped,337.47,NOK,LENA,2850,NO,1,2018,6,7
Klippkungen,shipped,349.2,NOK,Sandnessjøen,8803,NO,1,2018,6,7
Klippkungen,shipped,444.0,SEK,Floda,44837,SE,1,2018,6,8
Klippkungen,shipped,334.25,NOK,ÅDALSBRUK,2345,NO,1,2018,6,9
Klippkungen,shipped,415.0,SEK,MÖLNDAL,43132,SE,1,2018,7,14
Klippkungen,shipped,325.79,NOK,ERDAL,5306,NO,1,2018,6,11
Klippkungen,shipped,1975.0,SEK,NORSBORG,14557,SE,1,2018,6,12
Klippkungen,shipped,336.0,NOK,Stavern,3290,NO,1,2018,11,6
Klippkungen,shipped,349.5,NOK,Måløy,6700,NO,1,2018,6,12
Klippkungen,shipped,348.74,NOK,Flatdal,3841,NO,1,2018,6,12
Klippkungen,shipped,300.31,NOK,Hafrsfjord,4048,NO,1,2018,6,21
Klippkungen,shipped,375.0,NOK,Sandsli,5258,NO,1,2018,11,24
Klippkungen,shipped,345.25,NOK,Hafrsfjord,4046,NO,1,2018,6,13
Klippkungen,shipped,329.14,NOK,Kragerø,3772,NO,1,2018,6,13
Klippkungen,shipped,598.5,SEK,Bollnäs,82131,SE,1,2018,6,14
Klippkungen,shipped,347.91,NOK,Harstad,9411,NO,1,2018,6,14
Klippkungen,shipped,372.46,NOK,Stavanger,4029,NO,1,2018,7,19
Klippkungen,shipped,268.0,NOK,Nærbø,4365,NO,1,2018,10,4
Klippkungen,shipped,347.6,NOK,Indre Arna,5261,NO,1,2018,8,23
Klippkungen,shipped,342.11,NOK,Nesttun,5228,NO,1,2018,6,16
Klippkungen,shipped,1173.74,SEK,Umeå,90334,SE,1,2018,6,17
Klippkungen,shipped,345.78,NOK,Sandefjord,3244,NO,1,2018,6,17
Klippkungen,ready,314.8,SEK,Vårgårda,44730.0,SE,1,2018,6,18
Klippkungen,ready,348.44,NOK,Varangerbotn,9840.0,NO,1,2018,6,18
Klippkungen,shipped,348.85,NOK,MOEN,9321.0,NO,1,2018,6,22
Klippkungen,shipped,585.8,SEK,Stockholm,11326.0,SE,1,2018,6,26
Klippkungen,shipped,376.0,NOK,BORHAUG,4563.0,NO,1,2018,7,21
Klippkungen,shipped,344.85,NOK,HAMNVIK,9450.0,NO,1,2018,6,20
Klippkungen,shipped,347.0,NOK,BREISTEIN,5111.0,NO,1,2018,6,21
Klippkungen,shipped,349.18,NOK,Varhaug,4360.0,NO,1,2018,7,3
Klippkungen,shipped,339.25,NOK,LINDÅS,5955.0,NO,1,2018,6,21
Klippkungen,shipped,348.05,NOK,MOEN,9321.0,NO,1,2018,6,23
Klippkungen,shipped,327.0,NOK,Harstad,9403.0,NO,1,2018,8,8
Klippkungen,shipped,345.25,NOK,Heimdal,7080.0,NO,1,2018,6,22
Klippkungen,shipped,505.6,DKK,Taastrup,2630.0,DK,1,2018,9,30
Klippkungen,shipped,394.0,NOK,Kleppe,4352.0,NO,1,2019,10,10
Klippkungen,shipped,400.0,SEK,Skövde,54138.0,SE,1,2019,10,24
Klippkungen,shipped,361.3,NOK,Tromsø,9013.0,NO,1,2018,9,11
Klippkungen,shipped,754.0,SEK,Tungelsta,13754.0,SE,1,2018,7,16
Klippkungen,shipped,343.45,NOK,RÅHOLT,2070.0,NO,1,2018,6,24
Klippkungen,shipped,964.0,SEK,Almunge,74010.0,SE,1,2018,6,24
Klippkungen,shipped,1062.0,SEK,Danderyd,18231.0,SE,1,2018,6,24
Klippkungen,shipped,1062.0,SEK,Danderyd,18231.0,SE,1,2018,6,24
Klippkungen,shipped,345.1,NOK,Vikhammer,7560.0,NO,1,2018,6,24
Klippkungen,shipped,227.0,SEK,Skellefteå,93164.0,SE,1,2018,7,6
Klippkungen,shipped,349.47,NOK,Gjerstad,4980.0,NO,1,2018,6,25
Klippkungen,shipped,178.0,SEK,BORÅS,50643.0,SE,1,2018,12,7
Klippkungen,shipped,307.0,SEK,Stockholm,11847.0,SE,1,2018,6,25
Klippkungen,shipped,322.57,NOK,Ølen,5580.0,NO,1,2018,7,4
Klippkungen,shipped,826.0,SEK,Gullringen,59873.0,SE,1,2018,11,20
Klippkungen,shipped,346.11,NOK,Melbu,8445.0,NO,1,2018,6,28
Klippkungen,shipped,197.0,NOK,Haugesund,5532.0,NO,1,2018,9,24
Klippkungen,shipped,349.75,NOK,Verdal,7653.0,NO,1,2018,6,28
Klippkungen,shipped,371.82,NOK,FINNSNES,9300.0,NO,1,2018,9,25
Klippkungen,shipped,318.0,NOK,Hovsherad,4462.0,NO,1,2018,6,30
Klippkungen,shipped,175.25,NOK,Vestskogen,3142.0,NO,1,2018,7,3
Klippkungen,shipped,330.5,NOK,Stavanger,4008.0,NO,1,2018,7,1
Klippkungen,shipped,1351.0,SEK,UPPSALA,75594.0,SE,1,2018,7,24
Klippkungen,shipped,341.9,NOK,Blomsterdalen,5258.0,NO,1,2018,8,17
Klippkungen,shipped,314.27,NOK,Rørvik,7900.0,NO,1,2018,7,3
Klippkungen,shipped,706.7,SEK,Fjugesta,71630.0,SE,1,2018,7,4
Klippkungen,shipped,310.84,NOK,Saupstad,7078.0,NO,1,2018,7,4
Klippkungen,shipped,247.0,NOK,Tynset,2500.0,NO,1,2018,10,4
Klippkungen,shipped,2083.0,SEK,Borås,50636.0,SE,1,2018,7,5
Klippkungen,shipped,923.0,SEK,Sparsör,51350.0,SE,1,2018,7,5
Klippkungen,shipped,376.0,NOK,NORD-TORPA,2880.0,NO,1,2018,8,6
Klippkungen,shipped,370.9,NOK,Valldal,6210.0,NO,1,2018,9,9
Klippkungen,shipped,378.25,NOK,Åseral,4540.0,NO,1,2018,7,7
Klippkungen,shipped,2428.88,SEK,Tidan,54991.0,SE,1,2018,7,8
Klippkungen,shipped,254.25,NOK,HAUGESUND,5523.0,NO,1,2018,7,8
Klippkungen,shipped,377.01,NOK,Volda,6104.0,NO,1,2018,7,17
Klippkungen,shipped,373.25,NOK,Rossland,5917.0,NO,1,2018,7,8
Klippkungen,shipped,350.04,NOK,Vigrestad,4362.0,NO,1,2018,7,20
Klippkungen,shipped,3078.0,SEK,Kumla,69237.0,SE,1,2019,9,22
Klippkungen,shipped,1813.72,SEK,vilhelmina,91233.0,SE,1,2018,7,9
Klippkungen,shipped,267.0,SEK,Norrköping,60387.0,SE,1,2018,7,22
Klippkungen,shipped,647.0,SEK,STOCKHOLM,11759.0,SE,1,2018,7,9
Klippkungen,shipped,647.0,SEK,STOCKHOLM,11759.0,SE,1,2018,7,9
Klippkungen,shipped,1325.54,SEK,Göteborg,41511.0,SE,1,2018,7,9
Klippkungen,shipped,327.0,SEK,GÖTEBORG,41758.0,SE,2,2018,7,10
Klippkungen,shipped,348.0,NOK,Kvalavåg,4264.0,NO,1,2018,8,21
Klippkungen,shipped,2064.61,SEK,Torslanda,42340.0,SE,1,2018,7,11
Klippkungen,shipped,377.0,NOK,Eggedal,3359.0,NO,1,2018,7,13
Klippkungen,shipped,337.0,NOK,Hafrsfjord,4045.0,NO,1,2018,8,9
Klippkungen,shipped,337.0,NOK,Hafrsfjord,4045.0,NO,1,2018,8,9
Klippkungen,shipped,370.01,NOK,Vadheim,6996,NO,1,2018,7,16
Klippkungen,shipped,655.0,SEK,Nässjö,57139,SE,1,2018,7,16
Klippkungen,shipped,348.0,NOK,Skogsvåg,5382,NO,1,2018,8,21
Klippkungen,shipped,352.0,NOK,Viggja,7354,NO,1,2018,8,7
Klippkungen,shipped,312.0,NOK,Sørvær,9595,NO,1,2018,7,31
Klippkungen,shipped,328.0,NOK,OLSVIK,5183,NO,1,2018,7,23
Klippkungen,shipped,348.7,NOK,Ålgård,4330,NO,1,2018,7,24
Klippkungen,shipped,496.0,SEK,Malmö,21426,SE,1,2018,8,23
Klippkungen,shipped,347.0,NOK,Skudeneshavn,4280,NO,1,2018,7,25
Klippkungen,ready,1418.0,SEK,Fjugesta,71630,SE,1,2018,8,29
Klippkungen,shipped,1260.0,SEK,Visby,62157,SE,1,2018,7,24
Klippkungen,shipped,178.0,SEK,Deje,66932,SE,1,2018,7,25
Klippkungen,shipped,361.0,NOK,Tananger,4056,NO,1,2018,9,21
Klippkungen,shipped,319.0,NOK,Skien,3723,NO,1,2018,7,26
Klippkungen,shipped,276.0,SEK,Svartå,69373,SE,1,2019,10,10
Klippkungen,shipped,347.0,NOK,Fitjar,5419,NO,2,2018,9,12
Klippkungen,shipped,348.0,NOK,MAUSUND,7284,NO,1,2018,7,27
Klippkungen,shipped,322.0,NOK,Holum,4519,NO,1,2018,7,28
Klippkungen,shipped,347.7,NOK,DALHOLEN,2584,NO,1,2018,8,3
Klippkungen,shipped,348.0,NOK,KJØPSVIK,8590,NO,1,2018,8,11
Klippkungen,shipped,287.0,NOK,Skogsvåg,5382,NO,2,2018,9,7
Klippkungen,shipped,354.0,NOK,Krokelvdalen,9022,NO,1,2018,10,8
Klippkungen,shipped,376.9,NOK,Flemma,6637,NO,1,2018,9,17
Klippkungen,shipped,346.0,NOK,Åseral,4540,NO,1,2018,8,16
Klippkungen,shipped,332.8,NOK,Grimstad,4876,NO,1,2018,8,16
Klippkungen,shipped,90.12,EUR,Bosund,68555,FI,1,2018,8,5
Klippkungen,shipped,371.0,SEK,Halltorp,38895,SE,1,2018,11,30
Klippkungen,shipped,372.6,NOK,Kleppe,4352,NO,1,2018,8,6
Klippkungen,shipped,886.0,SEK,surte,44557,SE,1,2018,8,6
Klippkungen,shipped,339.1,NOK,Narvik,8517,NO,1,2018,8,13
Klippkungen,shipped,366.8,NOK,Snertingdal,2838,NO,1,2018,9,9
Klippkungen,shipped,484.0,SEK,Märsta,19557,SE,1,2018,10,8
Klippkungen,shipped,317.0,NOK,Halden,1771,NO,1,2018,8,18
Klippkungen,shipped,344.96,NOK,Levanger,7604,NO,1,2018,8,8
Klippkungen,shipped,346.0,NOK,Jevnaker,3520,NO,1,2018,8,9
Klippkungen,shipped,347.0,NOK,Kokstad,5257,NO,1,2018,12,2
Klippkungen,shipped,332.7,NOK,Folldal,2580,NO,1,2018,12,13
Klippkungen,shipped,317.0,NOK,Sykkylven,6230,NO,1,2018,8,10
Klippkungen,shipped,338.0,NOK,Trondheim,7038,NO,1,2018,8,10
Klippkungen,shipped,326.0,NOK,Storebø,5392,NO,1,2018,8,11
Klippkungen,ready,2627.0,SEK,Malmö,21112,SE,1,2018,8,11
Klippkungen,shipped,456.0,SEK,Täby,18362,SE,1,2018,10,4
Klippkungen,shipped,735.0,SEK,FÖRSLÖV,26972,SE,1,2018,8,22
Klippkungen,shipped,348.8,NOK,Bergen,5031,NO,1,2018,8,22
Klippkungen,shipped,346.0,NOK,Nord-Torpa,2880,NO,1,2018,8,13
Klippkungen,shipped,904.0,SEK,Falun,79174,SE,1,2018,8,14
Klippkungen,shipped,343.0,NOK,Skien,3740,NO,1,2018,8,14
Klippkungen,shipped,342.0,NOK,STORD,5416,NO,1,2018,8,14
Klippkungen,shipped,329.0,NOK,Roa,2740,NO,1,2018,8,14
Klippkungen,shipped,545.0,SEK,Backaryd,37011,SE,1,2019,4,25
Klippkungen,shipped,437.6,SEK,MALMÖ,21773,SE,1,2018,9,27
Klippkungen,shipped,348.64,NOK,Sørkjosen,9152,NO,1,2018,8,17
Klippkungen,shipped,347.8,NOK,Ørsta,6150,NO,1,2018,8,17
Klippkungen,shipped,347.0,NOK,Tønsberg,3127,NO,1,2018,8,27
Klippkungen,shipped,331.0,NOK,Folldal,2580,NO,1,2018,8,20
Klippkungen,shipped,292.0,NOK,FURNES,2320,NO,1,2018,8,20
Klippkungen,shipped,286.0,NOK,Voss,5709,NO,1,2018,9,5
Klippkungen,shipped,364.0,NOK,Hafrsfjord,4048,NO,1,2018,10,4
Klippkungen,shipped,306.0,NOK,Skogsvåg,5382,NO,1,2018,9,24
Klippkungen,shipped,313.0,NOK,Beitstad,7730,NO,1,2018,8,22
Klippkungen,shipped,317.0,NOK,Stord,5412,NO,1,2018,10,2
Klippkungen,shipped,347.0,NOK,Kirkenes,9900,NO,1,2018,8,23
Klippkungen,shipped,345.9,NOK,Honningsvåg,9750,NO,1,2018,8,23
Klippkungen,shipped,366.0,NOK,Kristiansand S,4638,NO,1,2018,11,14
Klippkungen,shipped,366.0,NOK,Vadheim,6996,NO,1,2018,8,25
Klippkungen,shipped,705.0,SEK,Glumslöv,26163,SE,1,2018,9,3
Klippkungen,shipped,316.9,NOK,Tønsberg,3127,NO,2,2018,10,30
Klippkungen,shipped,465.0,SEK,Mörsil,83004,SE,1,2019,1,27
Klippkungen,shipped,376.5,NOK,JOSTEDAL,6871,NO,1,2018,9,2
Klippkungen,shipped,336.0,NOK,Eikelandsosen,5640,NO,1,2018,8,29
Klippkungen,shipped,377.9,NOK,Egersund,4373,NO,1,2018,8,29
Klippkungen,shipped,500.04,DKK,Nakskov,4900,DK,3,2018,8,30
Klippkungen,shipped,335.0,NOK,Ål,3570,NO,1,2018,8,30
Klippkungen,shipped,505.62,DKK,Rødovre,2610,DK,1,2018,9,11
Klippkungen,shipped,517.46,DKK,Faxe,4640,DK,1,2018,8,31
Klippkungen,shipped,279.06,DKK,Hadsten,8370,DK,1,2018,10,1
Klippkungen,shipped,554.89,DKK,Grenå,8500,DK,1,2018,9,3
Klippkungen,shipped,2923.0,SEK,Höganäs,26391,SE,1,2018,9,1
Klippkungen,shipped,356.0,NOK,Honningsvåg,9750,NO,1,2018,9,24
Klippkungen,shipped,709.69,DKK,Aalborg SØ,9210,DK,2,2018,9,4
Klippkungen,shipped,552.52,DKK,Silkeborg,8600,DK,1,2018,8,31
Klippkungen,shipped,507.98,DKK,Silkeborg,8600,DK,3,2018,10,4
Klippkungen,shipped,746.0,SEK,Karlskoga,69154,SE,1,2018,8,31
Klippkungen,shipped,4326.8,SEK,NÄSÅKER,88030,SE,1,2018,8,31
Klippkungen,shipped,1883.0,SEK,Täby,18351,SE,1,2018,8,31
Klippkungen,shipped,354.8,NOK,Mjøndalen,3050,NO,1,2018,10,26
Klippkungen,ready,2014.91,DKK,Nexø,3730,DK,1,2018,9,28
Klippkungen,shipped,375.9,NOK,EGERSUND,4373,NO,1,2018,9,2
Klippkungen,shipped,378.6,NOK,Flatdal,3841,NO,1,2018,9,2
Klippkungen,shipped,615.0,SEK,BODA KYRKBY,79596,SE,1,2018,10,6
Klippkungen,shipped,519.75,DKK,Odense m,5230,DK,1,2018,9,3
Klippkungen,shipped,7719.0,SEK,Stockholm,11164,SE,1,2018,9,5
Klippkungen,shipped,707.52,DKK,Esbjerg,6700,DK,1,2018,9,3
Klippkungen,shipped,263.14,DKK,Uldum,7171,DK,1,2018,9,3
Klippkungen,shipped,504.8,DKK,Holstebro,7500,DK,1,2018,9,3
Klippkungen,shipped,422.8,SEK,BOLLSTABRUK,87340,SE,1,2018,9,29
Klippkungen,shipped,590.65,DKK,Hobro,9500,DK,1,2018,9,5
Klippkungen,shipped,356.9,SEK,Kalmar,39238,SE,1,2018,9,5
Klippkungen,shipped,595.42,DKK,Rødkærsbro,8840,DK,1,2018,10,14
Klippkungen,shipped,342.0,NOK,ÅKREHAMN,4270,NO,1,2018,9,5
Klippkungen,shipped,766.17,DKK,Bagsværd,2880,DK,1,2018,9,13
Klippkungen,shipped,261.0,NOK,Finsland,4646,NO,1,2018,9,20
Klippkungen,shipped,301.86,DKK,Køge,4600,DK,1,2018,9,6
Klippkungen,shipped,314.16,NOK,Bergen,5007,NO,1,2018,9,24
Klippkungen,shipped,601.8,DKK,Ørum Djurs,8586,DK,1,2018,9,6
Klippkungen,shipped,535.03,DKK,Odder,8300,DK,1,2018,9,6
Klippkungen,shipped,326.0,NOK,Brøstadbotn,9311,NO,1,2018,9,24
Klippkungen,ready,504.02,DKK,Ishøj,2635,DK,1,2018,10,3
Klippkungen,shipped,279.04,DKK,Aarhus,8000 ,DK,1,2018,9,7
Klippkungen,shipped,327.0,NOK,Fauske,8207,NO,1,2018,9,7
Klippkungen,shipped,357.0,NOK,Tynset,2500,NO,1,2018,10,24
Klippkungen,shipped,511.16,DKK,København S,2300,DK,1,2018,9,8
Klippkungen,shipped,556.48,DKK,København S,2300,DK,1,2018,11,23
Klippkungen,shipped,589.9,SEK,Kalix,95233,SE,2,2018,9,8
Klippkungen,shipped,1666.99,SEK,Nordmaling,91491,SE,1,2018,9,9
Klippkungen,shipped,342.0,NOK,Rena,2450,NO,1,2018,9,8
Klippkungen,shipped,512.64,DKK,Jægerspris,3630,DK,1,2018,9,19
Klippkungen,shipped,512.64,DKK,Jægerspris,3630,DK,2,2018,9,19
Klippkungen,shipped,624.05,DKK,Eskebjerg,4593,DK,1,2018,9,10
Klippkungen,shipped,335.0,NOK,Vossestrand,5713,NO,1,2019,3,31
Klippkungen,ready,361.0,NOK,Hønefoss,3514,NO,1,2018,9,9
Klippkungen,ready,6454.11,DKK,køge,4600,DK,1,2018,9,10
Klippkungen,ready,6454.11,DKK,køge,4600,DK,1,2018,9,10
Klippkungen,ready,6454.11,DKK,køge,4600,DK,1,2018,9,10
Klippkungen,ready,6454.11,DKK,køge,4600,DK,1,2018,9,10
Klippkungen,shipped,351.1,DKK,Kongens Lyngby,2800,DK,1,2019,7,13
Klippkungen,shipped,366.0,NOK,Eikangervåg,5913,NO,1,2018,12,8
Klippkungen,shipped,675.7,DKK,Augustenborg ,6440,DK,1,2018,9,10
Klippkungen,shipped,842.7,DKK,Humlebæk,3050,DK,1,2018,9,10
Klippkungen,shipped,1811.0,SEK,Mariestad,54293,SE,1,2018,9,10
Klippkungen,shipped,320.38,DKK,Sakskøbing,4990 ,DK,1,2018,10,5
Klippkungen,shipped,945.77,DKK,Søborg ,2860,DK,1,2018,9,11
Klippkungen,shipped,743.0,DKK,Søborg ,2860,DK,1,2020,1,10
Klippkungen,shipped,972.26,DKK,Vejle,7100,DK,1,2018,10,4
Klippkungen,ready,771.9,DKK,Slangerup,3550,DK,1,2018,9,11
Klippkungen,shipped,1012.65,DKK,københavn s.,2300,DK,1,2018,9,11
Klippkungen,shipped,560.45,DKK,Hobro,9500,DK,1,2018,9,11
Klippkungen,shipped,537.4,DKK,Haslev,4690,DK,1,2018,9,12
Klippkungen,shipped,1177.58,DKK,Ballerup,2750,DK,1,2019,2,10
Klippkungen,shipped,376.32,NOK,Bodø,8004,NO,1,2018,9,12
Klippkungen,shipped,327.0,NOK,Sandnes,4321,NO,1,2018,9,26
Klippkungen,shipped,356.7,NOK,Åfjord,7170,NO,1,2018,9,13
Klippkungen,shipped,335.0,NOK,Førresfjorden,5563,NO,1,2018,9,26
Klippkungen,ready,506.0,SEK,Sandviken,81153,SE,1,2018,10,15
Klippkungen,shipped,720.0,SEK,Kalix,95233,SE,2,2018,11,30
Klippkungen,ready,514.36,DKK,Ringsted,4100,DK,1,2018,9,13
Klippkungen,shipped,371.0,NOK,RANDABERG,4070,NO,1,2018,9,24
Klippkungen,shipped,1001.2,DKK,Spøttrup,7860,DK,1,2018,9,19
Klippkungen,shipped,493.0,SEK,Brålanda,46462,SE,1,2018,10,8
Klippkungen,shipped,836.0,SEK,Hallen,84591,SE,1,2018,9,15
Klippkungen,shipped,362.0,NOK,LARVIK,3269,NO,1,2018,9,21
Klippkungen,shipped,378.76,NOK,FØRRESFJORDEN,5563,NO,1,2018,9,15
Klippkungen,shipped,686.88,DKK,Holbæk,4300,DK,1,2018,9,15
Klippkungen,ready,364.7,SEK,Stockholm,11635,SE,1,2018,9,15
Klippkungen,shipped,1072.0,SEK,Marieholm,24171,SE,1,2018,9,16
Klippkungen,shipped,1164.47,DKK,København SV,2450,DK,1,2018,9,24
Klippkungen,shipped,366.0,NOK,Stavanger,4028,NO,1,2018,9,19
Klippkungen,shipped,257.0,SEK,Oxelösund,61335,SE,1,2018,11,27
Klippkungen,shipped,579.45,DKK,Dianalund,4293,DK,1,2018,9,17
Klippkungen,shipped,554.82,DKK,Vemmelev,4241,DK,1,2018,12,11
Klippkungen,shipped,324.18,DKK,Vojens,6500,DK,1,2018,9,29
Klippkungen,shipped,243.0,NOK,Orre,4343,NO,1,2018,9,19
Klippkungen,ready,1436.5,DKK,Veflinge,5474,DK,1,2018,9,20
Klippkungen,shipped,591.0,SEK,Vittangi,98010,SE,1,2018,9,18
Klippkungen,shipped,375.0,NOK,Kleppestø,5322,NO,1,2018,9,24
Klippkungen,shipped,325.96,DKK,Kalvehave,4771,DK,1,2018,9,18
Klippkungen,shipped,584.31,DKK,Dalmose,4261,DK,1,2018,9,18
Klippkungen,shipped,293.0,SEK,Linköping,58666,SE,1,2018,10,8
Klippkungen,shipped,316.0,NOK,Kristiansand,4639,NO,1,2018,10,5
Klippkungen,shipped,223.39,DKK,Tappernøje ,4733,DK,1,2018,9,19
Klippkungen,shipped,500.0,SEK,Vilhelmina,91234,SE,1,2018,9,19
Klippkungen,shipped,922.0,SEK,Rundvik,91441,SE,1,2019,3,18
Klippkungen,shipped,1412.0,SEK,Sjöbo,27530,SE,1,2018,10,1
Klippkungen,shipped,325.0,SEK,Arboga,73247,SE,1,2019,3,18
Klippkungen,shipped,243.0,SEK,Dorotea,91731,SE,1,2018,9,20
Klippkungen,shipped,807.73,DKK,Jægerspris,3630,DK,1,2018,11,2
Klippkungen,shipped,416.0,SEK,Tyresö,13567,SE,1,2018,9,29
Klippkungen,shipped,1012.69,DKK,Lyngby,2800,DK,1,2018,10,26
Klippkungen,shipped,365.0,NOK,Trondheim,7026,NO,1,2018,9,21
Klippkungen,shipped,550.92,DKK,Køge,4600,DK,1,2018,9,21
Klippkungen,shipped,335.0,NOK,Snertingdal,2838,NO,2,2018,10,15
Klippkungen,shipped,317.0,SEK,KARLSKRONA,37134,SE,1,2018,9,22
Klippkungen,shipped,1992.16,DKK,Frederikssund,3600,DK,2,2018,9,23
Klippkungen,shipped,364.0,NOK,Sykkylven,6230,NO,1,2018,9,23
Klippkungen,shipped,392.23,DKK,Ry,8680,DK,1,2018,10,2
Klippkungen,shipped,725.72,DKK,Søborg,2860,DK,1,2018,9,24
Klippkungen,ready,1057.8,DKK,Frederikssund,DK3600,DK,1,2018,9,30
Klippkungen,shipped,976.01,DKK,Roskilde,4000,DK,1,2019,4,7
Klippkungen,ready,774.55,DKK,Hvalsø,4330,DK,1,2018,9,26
Klippkungen,ready,503.59,DKK,Odense NV,5210,DK,1,2018,9,26
Klippkungen,shipped,504.81,DKK,Havdrup,4622,DK,1,2018,10,5
Klippkungen,ready,11540.9,SEK,NÄSÅKER,88030,SE,1,2018,10,28
Klippkungen,shipped,337.0,NOK,Nesttun,5228,NO,1,2018,10,14
Klippkungen,shipped,436.3,DKK,ROSKILDE,4000,DK,1,2018,9,28
